Tag,popular_index,count,ratio(%)
액션,1578,26,4.782687761411165
로맨스,1553,37,4.7069164090440685
소설원작,911,16,2.7611080802570163
판타지,877,19,2.6580590410377645
드라마,853,17,2.5853185427653513
스릴러,800,17,2.4246832757471055
사이다,714,10,2.1640298236042916
성장물,576,13,1.745771958537916
액션판타지,563,10,1.7063708553070256
개그,539,11,1.6336303570346125
현대,527,9,1.597260107898406
설렘폭발,519,11,1.573013275140935
무협/사극,517,7,1.566951566951567
먼치킨,468,6,1.4184397163120568
소년물,417,8,1.2638661574831787
열혈,404,8,1.2244650542522884
자극적인,391,9,1.1850639510213978
참교육,385,6,1.1668788264532945
마법,369,7,1.1183851609383524
청춘,326,9,0.9880584348669456
스포츠,318,6,0.9638116021094745
우정,313,6,0.948657331636055
세계관,309,4,0.9365339152573195
리얼로맨스,302,8,0.9153179365945323
판타지개그,299,5,0.9062253743104807
시리어스,298,7,0.9031945202157968
모험,292,6,0.8850093956476935
가족,289,6,0.8759168333636418
크리처,287,5,0.8698551251742742
학원물,284,6,0.8607625628902225
느와르,276,4,0.8365157301327515
판무,272,3,0.8243923137540158
사연남,269,5,0.8152997514699643
요즘핫한추천작,268,3,0.8122688973752803
능력녀,260,5,0.7880220646178092
범죄,257,8,0.7789295023337577
첫사랑,254,4,0.769836940049706
러브코미디,247,5,0.7486209613869189
성인웹툰,243,3,0.7364975450081833
아카데미물,234,4,0.7092198581560284
치명적인,231,5,0.7001272958719768
고자극드라마,230,3,0.6970964417772929
하렘,229,4,0.694065587682609
오피스,222,4,0.6728496090198217
미친작화,211,3,0.6395102139782991
가벼운,207,4,0.6273867975995636
라이벌,201,5,0.6092016730314602
스포츠성장,200,4,0.6061708189367764
고인물,192,3,0.5819239861793053
병맛,191,4,0.5788931320846215
격투기,191,3,0.5788931320846215
왕족/귀족,191,4,0.5788931320846215
감성적인,189,3,0.5728314238952537
일상,189,5,0.5728314238952537
고자극스릴러,187,4,0.566769715705886
바디 호러,181,2,0.5485845911377826
신화,181,3,0.5485845911377826
서양,180,6,0.5455537370430987
레드아이스 스튜디오,178,3,0.5394920288537309
회귀,177,3,0.5364611747590471
동양,176,2,0.5334303206643632
캠퍼스,171,4,0.5182760501909438
이능력,168,6,0.5091834879068922
독자PICK,168,4,0.5091834879068922
혐관,166,3,0.5031217797175245
상태창,163,3,0.4940292174334728
전쟁,149,2,0.4515972601078984
공감,147,4,0.4455355519185306
현대판타지,147,4,0.4455355519185306
소년왕도물,143,2,0.43341213553979513
직업드라마,139,2,0.4212887191610596
힐링,139,3,0.4212887191610596
동양풍판타지,137,2,0.41522701097169185
아포칼립스,136,3,0.4121961568770079
환생,135,2,0.4091653027823241
컷툰,131,2,0.3970418864035885
복수극,127,3,0.384918470024853
생존,126,3,0.3818876159301691
청춘로맨스,122,2,0.36976419955143364
후회물,118,3,0.35764078317269804
인외존재,117,4,0.3546099290780142
타임슬립,115,2,0.34854822088864645
공식미남,115,3,0.34854822088864645
용사,111,2,0.33642480450991086
로맨틱코미디,109,5,0.3303630963205431
2025 연재직행열차,109,2,0.3303630963205431
동물,108,2,0.32733224222585927
열혈병맛개그,106,3,0.3212705340364915
하이퍼리얼리즘,104,2,0.31520882584712373
블랙코미디,102,3,0.30914711765775593
야구,101,2,0.3061162635630721
영화원작웹툰,99,1,0.3000545553737043
드라마&영화 원작웹툰,99,1,0.3000545553737043
밀리터리,98,1,0.29702370127902045
학원액션,98,1,0.29702370127902045
집착남,96,2,0.29096199308965265
빙의,95,1,0.2879311389949688
지금추천작,95,1,0.2879311389949688
소심녀,93,2,0.281869430805601
재벌남,93,2,0.281869430805601
짝사랑,93,2,0.281869430805601
공포,92,2,0.2788385767109171
할리퀸,90,1,0.27277686852154936
외유내강녀,90,1,0.27277686852154936
중세판타지액션,90,2,0.27277686852154936
명랑녀,90,1,0.27277686852154936
배틀,89,2,0.26974601442686547
이세계,85,1,0.25762259804813
축구,83,1,0.25156088985876224
역사판타지,83,2,0.25156088985876224
고자극로맨스,82,1,0.2485300357640783
연애/결혼공감,82,1,0.2485300357640783
다정남,82,2,0.2485300357640783
삼각관계,82,1,0.2485300357640783
사회고발,80,1,0.24246832757471057
무심남,80,2,0.24246832757471057
인생역전,80,1,0.24246832757471057
2024 지상최대공모전,79,1,0.23943747348002664
악역이주인공,78,3,0.2364066193853428
절망적인,78,2,0.2364066193853428
2024 연재직행열차,77,1,0.23337576529065893
햇살녀,77,2,0.23337576529065893
미스터리,77,3,0.23337576529065893
옴니버스,76,1,0.23034491119597506
육아물,76,1,0.23034491119597506
무해한,76,1,0.23034491119597506
환골탈태,75,1,0.22731405710129113
재벌,75,1,0.22731405710129113
블루스트링,74,1,0.22428320300660726
감성,73,1,0.22125234891192339
헌터물,72,1,0.2182214948172395
서바이벌,71,1,0.21519064072255562
중세,70,1,0.21215978662787174
로판,70,3,0.21215978662787174
게임판타지,70,1,0.21215978662787174
순애남,67,1,0.20306722434382007
순진남,66,2,0.20003637024913623
서스펜스,66,2,0.20003637024913623
사연녀,65,3,0.1970055161544523
공감성수치,62,1,0.18791295387040066
일상개그힐링,60,2,0.18185124568103292
차원이동,59,2,0.17882039158634902
SF,59,1,0.17882039158634902
두뇌싸움,58,1,0.17578953749166515
피카레스크,56,2,0.1697278293022974
오컬트판타지,55,1,0.1666969752076135
로맨스릴러,55,1,0.1666969752076135
감염,55,2,0.1666969752076135
게임,55,1,0.1666969752076135
대형견남,54,1,0.16366612111292964
자본주의,54,2,0.16366612111292964
직진남,54,2,0.16366612111292964
학원로맨스,53,1,0.16063526701824574
4차원,52,1,0.15760441292356187
능글남,52,2,0.15760441292356187
군림녀,51,1,0.15457355882887797
평범남,50,1,0.1515427047341941
재벌녀,50,1,0.1515427047341941
다크판타지,49,2,0.14851185063951022
하이틴,49,1,0.14851185063951022
오컬트,48,1,0.14548099654482632
햇살캐,47,1,0.14245014245014245
계략남,47,1,0.14245014245014245
헌신남,45,1,0.13638843426077468
시대물,43,1,0.1303267260714069
과거,43,1,0.1303267260714069
정치,41,1,0.12426501788203916
동양풍로맨스,40,1,0.12123416378735528
러블리,38,2,0.11517245559798753
직진녀,37,1,0.11214160150330363
성장로판,36,2,0.10911074740861974
얼빠녀,36,2,0.10911074740861974
순정녀,31,1,0.09395647693520033
순정남,31,1,0.09395647693520033
나쁜남자,29,2,0.08789476874583257
결혼생활,26,1,0.07880220646178093
순진녀,26,1,0.07880220646178093
로맨스코미디,25,2,0.07577135236709705
2024 최강자전,25,1,0.07577135236709705
햇살남,25,1,0.07577135236709705
성장드라마,23,1,0.06970964417772928
재회,23,2,0.06970964417772928
2021 지상최대공모전,23,1,0.06970964417772928
철벽녀,22,2,0.0666787900830454
계약연애,21,1,0.06364793598836152
비밀연애,20,1,0.06061708189367764
폭스남,20,1,0.06061708189367764
정통무협,19,1,0.057586227798993764
집착물,17,1,0.051524519609625986
짐승남,17,1,0.051524519609625986
빌런,14,1,0.04243195732557435
흑백,11,1,0.0333393950415227
좀비,11,1,0.0333393950415227
2022 지상최대공모전,10,1,0.03030854094683882
다크히어로,9,1,0.027277686852154936
후회남,8,1,0.024246832757471054
무심녀,6,1,0.01818512456810329
까칠남,6,1,0.01818512456810329
능력남,3,1,0.009092562284051645
뱀파이어,1,1,0.0030308540946838818
아이돌,1,1,0.0030308540946838818
